<!--######################################################

                       .::::.

                     .::::::::.

                    :::::::::::  TV

                ..:::::::::::'

              '::::::::::::'

                .::::::::::

           '::::::::::::::..

                ..::::::::::::.

              ``::::::::::::::::

               ::::``:::::::::'        .:::.

              ::::'   ':::::'       .::::::::.

            .::::'      ::::     .:::::::'::::.

           .:::'       :::::  .:::::::::' ':::::.

          .::'        :::::.:::::::::'      ':::::.

         .::'         ::::::::::::::'         ``::::.

     ...:::           ::::::::::::'              ``::.

    ````':.          ':::::::::'                  ::::..

                       '.:::::'                    ':'````..

##############################################################-->

4K,#genre#
翡翠台,http://r.jdshipin.com/thuYX

翡翠台,http://120.84.96.87:808/hls/25/index.m3u8

天映频道,http://210.210.155.35:80/dr9445/h/h14/02.m3u8

天映频道,http://210.210.155.37/dr9445/h/h14/index.m3u8

天映频道,http://210.210.155.37/session/19c2e28a-ea3c-11ed-9a9e-9a43b9bfd356/dr9445/h/h14/index.m3u8

TVB星河,http://gxfrg007.8800.org:8282/tsfile/live/1062_1.m3u8

天映经典,http://210.210.155.37/qwr9ew/s/s31/index2.m3u8

天映经典,http://210.210.155.37/qwr9ew/s/s31/index.m3u8

天映经典,http://210.210.155.37/session/73e834b2-ea42-11ed-9470-9a98a35c5f37/qwr9ew/s/s31/index2.m3u8

天映经典,http://gxfrg007.8800.org:8282/tsfile/live/1053_1.m3u8

东森戏剧,http://123.51.149.68:18538/0.m3u8

东森电影,http://gxfrg007.8800.org:8282/tsfile/live/1049_1.m3u8

东森洋片,http://gxfrg007.8800.org:8282/tsfile/live/1050_1.m3u8

龙祥时代,http://gxfrg007.8800.org:8282/tsfile/live/1048_1.m3u8

动漫,http://gxfrg007.8800.org:8282/tsfile/live/1025_1.m3u8

中国天气,http://gxfrg007.8800.org:8282/tsfile/live/1060_1.m3u8

私人影院,http://gxfrg007.8800.org:8282/tsfile/live/1061_1.m3u8

KIX,http://210.210.155.37/session/d06b6e24-5ffb-11ed-8aac-802780c6dae4/dr9445/h/h07/index.m3u8

电影影视,http://gxfrg007.8800.org:8282/tsfile/live/1088_1.m3u8

电影影视1,http://gxfrg007.8800.org:8282/tsfile/live/1005_1.m3u8

广东影视,http://gxfrg007.8800.org:8282/tsfile/live/1052_1.m3u8

CCTV娱乐,http://gxfrg007.8800.org:8282/tsfile/live/1092_1.m3u8

东风37,http://123.51.149.68:18560/0.m3u8

华语电视2,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8

华语电视3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8

斗鱼4K,http://epg.112114.xyz/douyu/9249162

斗鱼-IMAX影厅,http://epg.112114.xyz/douyu/4332

斗鱼电影16,http://diyp.112114.xyz/douyu/96577

斗鱼电影HD11,http://diyp.112114.xyz/douyu/8770422

斗鱼电影HD14,http://diyp.112114.xyz/douyu/36337

斗鱼电影HD15,http://diyp.112114.xyz/douyu/413573

DJ舞曲,#genre#

情歌DJ合集,https://vd4.bdstatic.com/mda-mkp3tpu9ghk2ufev/sc/cae_h264/1637733480141753790/mda-mkp3tpu9ghk2ufev.mp4

车载DJ音乐精品美女夜店DJ视频,http://listen.92kk.com:8811//2013/车载视频/DJ舞曲视频/2015/2015-11/2015-11-05/Mp4_疯狂夜店美女热舞【杀阡陌】夜店歌曲DJMV .mp4

车载DJ视频,http://gcw.bdcdn.shoujiduoduo.com/201805/0748-641.mp4

相思的债DJ,https://vd3.bdstatic.com/mda-ki3xxn4n8r9r32v7/hd/mda-ki3xxn4n8r9r32v7.mp4?pd=19&vt=1&playlist=%5B%22sc%22%2C%22hd%22%5D

向往神鹰DJ,https://vd3.bdstatic.com/mda-kinxg6sqtfyscggx/hd/mda-kinxg6sqtfyscggx.mp4?pd=19&vt=1&playlist=%5B%22hd%22%2C%22sc%22%5D

车载DJ视频6,https://vdse.bdstatic.com//7e9d2da860d4ac39c0ea86502360d6fe.mp4

超强车载重音乐,https://vdse.bdstatic.com//be2987198eb242f59daaea05ac1d95ee.mp4

夜店DJ,http://listen.92kk.com:8811/%2F2020%2F%E8%BD%A6%E8%BD%BD%E8%A7%86%E9%A2%91%2F2020-08%2F2020-08-22%2F%5BMp4%5D%E6%9D%80%E6%AD%BB%E6%88%91%E7%9A%84%E6%B8%A9%E6%9F%94-%E9%BA%A6%E5%AE%B6%E7%91%9C-%E8%BD%A6%E8%BD%BD%E9%9F%B3%E4%B9%90%E7%B2%BE%E5%93%81%E7%BE%8E%E5%A5%B3%E5%A4%9C%E5%BA%97DJ%E8%A7%86%E9%A2%91%5B%E7%8B%AC%5D.mp4

8首串烧歌曲,https://vd3.bdstatic.com/mda-mmpgmu9qnrdctwza/hd/cae_h264/1640350134589718126/mda-mmpgmu9qnrdctwza.mp4

澳门酒吧音乐DJ,https://vd3.bdstatic.com/mda-mkpi5r0xe92ja446/480p/h264/1637759253085791346/mda-mkpi5r0xe92ja446.mp4

DJ,https://vdse.bdstatic.com//89125075c8eff065022858f7ab9f45ac.mp4

唱着情歌流着泪,https://vd3.bdstatic.com/mda-mhwaejanf0ie6b8j/1080p/cae_h264/1630409563129833732/mda-mhwaejanf0ie6b8j.mp4

忘记你需要多久(DJ小鱼儿版),https://vd2.bdstatic.com/mda-mc1sm1r5s9azchjv/v1-cae/1080p/mda-mc1sm1r5s9azchjv.mp4

韩可可《错位时空》DJ版,https://vd3.bdstatic.com/mda-mgciytzb45z6z8yj/1080p/cae_h264/1626183756603775947/mda-mgciytzb45z6z8yj.mp4

音乐MV7,https://vd2.bdstatic.com/mda-ncbiabdm8fds0xgn/cae_h264_delogo/1647126015042184012/mda-ncbiabdm8fds0xgn.mp4?v_from_s=hkapp-haokan-hna&auth_key=1650258048-0-0-34ffab0b656bff896c81eaeb4d8879e5&bcevod_channel=searchbox_feed&pd=1&vt=1&cd=0&watermark=0&did=&logid=1847793612&vid=4596142026740395086&pt=0&appver=&model=&cr=0&abtest=peav_l52&sle=1&sl=296&split=310403

音乐MV11,https://vd4.bdstatic.com/mda-nau8wmuk9ws1t2mf/cae_h264_delogo/1643437225267164883/mda-nau8wmuk9ws1t2mf.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1650258049-0-0-2a744a77e7be2ed79c63d8c76d265160&bcevod_channel=searchbox_feed&pd=1&vt=1&cd=0&watermark=0&did=&logid=1848613916&vid=5587494337135698582&pt=0&appver=&model=&cr=0&abtest=peav_l52&sle=1&sl=560&split=492240

探窗,https://vd3.bdstatic.com/mda-mi6e4vgibhtc628h/480p/h264/1631008912303842588/mda-mi6e4vgibhtc628h.mp4

今日热歌DJ《如果爱还在》《A8回心转意》《爱到最后就是痛》,https://vd2.bdstatic.com/mda-mhhf5mr00yyhpfjs/1080p/cae_h264/1629284581057661229/mda-mhhf5mr00yyhpfjs.mp4

经典老歌DJ舞曲七首,https://vd2.bdstatic.com/mda-mhwbtsnrmm6v6x5r/sc/cae_h264/1630403250895754314/mda-mhwbtsnrmm6v6x5r.mp4

车载必备DJ《殇雪》《潮湿的心》《酒醉的蝴蝶》《多年以后》,https://vd3.bdstatic.com/mda-mhve4gb9hi8cstzk/1080p/cae_h264/1630319514896018158/mda-mhve4gb9hi8cstzk.mp4

DJ《心在跳情在烧》,https://vd4.bdstatic.com/mda-mhwf07t27w3gi1y7/1080p/cae_h264/1630406994590156367/mda-mhwf07t27w3gi1y7.mp4

海来阿木《浪子心》DJ沈念版,https://vd3.bdstatic.com/mda-mgr9s5pv0jeqbcm8/1080p/cae_h264/1627298307874491239/mda-mgr9s5pv0jeqbcm8.mp4

DJ版《望爱却步》,https://vd4.bdstatic.com/mda-mh3ei4sg2jypty79/1080p/cae_h264/1628072927342489970/mda-mh3ei4sg2jypty79.mp4

伤感DJ《等》,https://vd2.bdstatic.com/mda-mhq92a7nafrh8dma/1080p/cae_h264/1629977686796490849/mda-mhq92a7nafrh8dma.mp4

DJ版《时间会知道你好不好》,https://vd3.bdstatic.com/mda-mhairve7gvye1192/1080p/cae_h264/1629457148988604256/mda-mhairve7gvye1192.mp4

DJ《等爱》,https://vd2.bdstatic.com/mda-mfhh1e0hwq212rrt/sc/h264/1623988905898256147/mda-mfhh1e0hwq212rrt.mp4

DJ《醉过多少回》,https://vd4.bdstatic.com/mda-megp46e98a4f2b9g/sc/h264/1621239560364992817/mda-megp46e98a4f2b9g.mp4

DJ情歌《爱情迷了路》,https://vd4.bdstatic.com/mda-mdbrb7fns70avrmt/1080p/cae_h264/1618222287/mda-mdbrb7fns70avrmt.mp4

DJ 最美不过你的微笑,https://vd4.bdstatic.com/mda-mhs2qjdmkjz2rb7g/sc/cae_h264/1630029534870787600/mda-mhs2qjdmkjz2rb7g.mp4

DJ 流浪兄弟,https://vd2.bdstatic.com/mda-mhrdtax1km0idkc5/1080p/cae_h264/1629972852606533219/mda-mhrdtax1km0idkc5.mp4

车载DJ《多年以后》,https://vd3.bdstatic.com/mda-mhqekuegbh6112js/1080p/cae_h264/1629891559415737083/mda-mhqekuegbh6112js.mp4

慢摇dj舞曲,https://vd2.bdstatic.com/mda-mkpi5r0xe92ja446/sc/cae_h264/1637775035132431598/mda-mkpi5r0xe92ja446.mp4

最新dj,https://vd2.bdstatic.com/mda-mm4dszarfc74t9mx/sc/cae_h264/1638819159347843097/mda-mm4dszarfc74t9mx.mp4

游戏直播,#genre#

斗鱼校园直播间,http://tc-tct.douyucdn2.cn/dyliveflv1/9798583rvwFlyRNB.flv?wsAuth=a7339cc264be6dfa2f2d281fd8c443e0&token=cpn-androidmpro-0-9798583-31fbc07c569e49ccd744bcce5ab31e084e558fb25126ddc2&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1

CSGO,http://tc-tct.douyucdn2.cn/dyliveflv1a/293829rcjYxxsQ3W.flv?wsAuth=c24ee5a99ff4073e7a1e8b11d17286f9&token=cpn-androidmpro-0-293829-eae6d7f57f6a87142082c34dacf38e2277087915f7cfc37d&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2

永劫无间,http://tc-tct.douyucdn2.cn/dyliveflv1a/9662891rlaeIAP3A.flv?wsAuth=900a607f085ce29d02fa943b6bebdd55&token=cpn-androidmpro-0-9662891-7de7dc707e1a51dda3c66a0598c35174d21999c57bfc0e87&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play

狼人杀官方赛事,http://tc-tct.douyucdn2.cn/dyliveflv1/4615959rUFUtiJ3v.flv?wsAuth=7971ae0019a9ad2822153b7370372e8c&token=cpn-androidmpro-0-4615959-c88b2c2692ce476579452cdc62babd37285751f91f149297&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1

王者荣耀官方赛事,http://tc-tct.douyucdn2.cn/dyliveflv1a/1863767rkpl_2000.flv?wsAuth=d56be2075fb9670f14c3f5df53e178e7&token=cpn-androidmpro-0-1863767-7b520f6fe0a2b18d929d1d756c0ba56a50e40f58e10afb0a&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play

王者荣耀甲级职业联赛,http://tc-tct.douyucdn2.cn/dyliveflv1/1984839rdqYitoI8_2000.flv?wsAuth=a56eed24129590fea240db8cf03ea8de&token=cpn-androidmpro-0-1984839-67aff303abf98630a586f7ac17fb752fb4386be06751f18a&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=

QQ飞车手游官方,http://tc-tct.douyucdn2.cn/dyliveflv1a/5040227raXQRnvWY_2000.flv?wsAuth=b3a4cd03484434faddfdad9733a93346&token=cpn-androidmpro-0-5040227-432528579fe94712604936d0232a1234448a157b4d8f4d6f&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost

和平精英官方赛事,http://tc-tct.douyucdn2.cn/dyliveflv1/999rx47n2pp8pKD_2000.flv?wsAuth=7c4e0996d97a3e181cc1d6f882346685&token=cpn-androidmpro-0-999-d32d75306aab2a79b6a2b2f96a4ef6dbff96ef5fbd19c376&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1

暴雪游戏频道,http://tc-tct.douyucdn2.cn/dyliveflv1/525207rUBsWpKrbH_2000.flv?wsAuth=a1da96915a06e90f71cfb787b9028068&token=cpn-androidmpro-0-525207-6d6087ff47bebf4bca292279dab3c6eba92e9dfeffc19158&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p

网易第五人格,http://tc-tct.douyucdn2.cn/dyliveflv1a/3226194r73pCQamR_2000.flv?wsAuth=98bc730d4b76f2909924b7aa19757e82&token=cpn-androidmpro-0-3226194-1c055b38aa29e28765fe0ddbd39e2c6f549c118e3826ef26&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost

斗鱼王者赛事,http://tc-tct.douyucdn2.cn/dyliveflv1/3606468rECPIHkIH_2000.flv?wsAuth=0afdd8b2027a5f22eb565911a6defbb4&token=cpn-androidmpro-0-3606468-febfaa921ec6c89abf8fa6bf8840ed77e831f85e77eccc64&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=

穿越火线运营团队,http://tc-tct.douyucdn2.cn/dyliveflv1/605964rzzgGEOZHr.flv?wsAuth=df89e7ea27145b099af8173ae68cd97d&token=cpn-androidmpro-0-605964-b9be22700076c08527be3395ee0252166c43dba3bb50a635&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1

斗鱼吃鸡赛事,http://tc-tct.douyucdn2.cn/dyliveflv1/100rPCLP_2000.flv?wsAuth=e023da74cef8a527f5e8b772f26ebca4&token=cpn-androidmpro-0-100-7280476511a877c21137cc017b77c31f9a591184f045f930&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1

CF手游官方直播间,http://tc-tct.douyucdn2.cn/dyliveflv1/868191rjy69PsEAz_2000.flv?wsAuth=8f98029d1aab837539193ee4d5849b9b&token=cpn-androidmpro-0-868191-846aacab1859214c11d306a48357f6deec338eb6691f48ef&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p

生死狙击2官方,http://tc-tct.douyucdn2.cn/dyliveflv1a/7439056rYiHdgWPW_2000.flv?wsAuth=d2a8b60937391e1264b3f74c0900377f&token=cpn-androidmpro-0-7439056-8a90173db6bf544873fa5198e09cd0ea823fc7ca637e029a&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost

完美世界电竞频道,http://tc-tct.douyucdn2.cn/dyliveflv1/6829849rvRdF9Fss_2000.flv?wsAuth=68a61939d074d6836988712a4acbb40d&token=cpn-androidmpro-0-6829849-5788c6a6f832f98eabab4a1a533b3fd899bee1e58e0c59e2&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=

哈利波特校园对抗赛,http://tc-tct.douyucdn2.cn/dyliveflv3/10891941rIOBOQmx.flv?wsAuth=e7d9ae1988ce60d60164ee79c1289ed9&token=cpn-androidmpro-0-10891941-fa71c3dbd42b76ab35f9774a0420b72fda2977702eced684&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play

跑跑卡丁车官方竞速版,http://tc-tct.douyucdn2.cn/dyliveflv1a/6672862r90xSwiRP.flv?wsAuth=e28e5abcde4d562d8b9a6ae0183690cb&token=cpn-androidmpro-0-6672862-ee6297daa5d07f341f874e64021e25d176a45dd545ec6599&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play

电台频道,#genre#

500首华语经典,http://ls.qingting.fm/live/3412131.m3u8?bitrate=64

CRI 环球资讯广播 FM90.5,http://sk.cri.cn/905.m3u8

CRI 环球资讯广播 FM90.5,http://live.xmcdn.com/live/1040/64.m3u8

CRI 环球资讯广播 FM90.5,http://ls.qingting.fm/live/24035.m3u8

CRI 中文环球广播,http://sk.cri.cn/hyhq.m3u8

CRI 中文环球广播,http://live.xmcdn.com/live/1043/64.m3u8

CRI 中文环球广播,http://ls.qingting.fm/live/4995.m3u8

CRI 南海之声,http://sk.cri.cn/nhzs.m3u8

CRI 南海之声,http://live.xmcdn.com/live/1054/64.m3u8

CRI 南海之声,http://ls.qingting.fm/live/62624.m3u8

CRI Hit FM FM88.7,http://sk.cri.cn/887.m3u8

CRI Hit FM FM88.7,http://live.xmcdn.com/live/75/64.m3u8

CRI Hit FM FM88.7,http://ls.qingting.fm/live/1007.m3u8

CRI 轻松调频 FM91.5,http://sk.cri.cn/915.m3u8

CRI 轻松调频 FM91.5,http://live.xmcdn.com/live/1042/64.m3u8

CRI 轻松调频 FM91.5,http://ls.qingting.fm/live/1006.m3u8

CRI Easy FM – FM91.5,http://sk.cri.cn/915.m3u8

CRI NEWS Plus AM846,http://sk.cri.cn/am846.m3u8

CRI NEWS Plus AM846,http://ls.qingting.fm/live/4584.m3u8

CRI NEWS Plus AM1008,http://sk.cri.cn/am1008.m3u8

CRI NEWS Plus AM1008,http://ls.qingting.fm/live/4584.m3u8

CRI Sydney,http://ls.qingting.fm/live/4584.m3u8

CNR 经济之声,http://live.xmcdn.com/live/1066/64.m3u8

CNR 经济之声,http://ls.qingting.fm/live/387.m3u8

CNR 经济之声,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8

CNR 中国之声,http://live.xmcdn.com/live/1065/64.m3u8

CNR 中国之声,http://ls.qingting.fm/live/386.m3u8

CNR 中国之声,http://ngcdn001.cnr.cn/live/zgzs/index.m3u8

CNR 音乐之声,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8

CNR 经典音乐广播 101.8,http://ngcdn004.cnr.cn/live/dszs/index.m3u8

CNR 中华之声,http://ngcdn005.cnr.cn/live/zhzs/index.m3u8

CNR 神州之声,http://ngcdn006.cnr.cn/live/szzs/index.m3u8

CNR 华夏之声,http://ngcdn007.cnr.cn/live/hxzs/index.m3u8

CNR 香港之声,http://ngcdn008.cnr.cn/live/xgzs/index.m3u8

CNR 民族之声,http://ngcdn009.cnr.cn/live/mzzs/index.m3u8

CNR 文艺之声,http://ngcdn010.cnr.cn/live/wyzs/index.m3u8

CNR 中国乡村之声,http://ngcdn017.cnr.cn/live/xczs/index.m3u8

CNR 哈语广播,http://live.xmcdn.com/live/1396/64.m3u8

CNR 哈语广播,http://ngcdn025.cnr.cn/live/hygb/index.m3u8

CNR 藏语广播,http://ls.qingting.fm/live/4988.m3u8

CNR 藏语广播,http://ngcdn012.cnr.cn/live/zygb/index.m3u8

CNR 维语广播,http://live.xmcdn.com/live/40/64.m3u8

CNR 维语广播,http://ls.qingting.fm/live/4988.m3u8

CNR 维语广播,http://ngcdn013.cnr.cn/live/wygb/index.m3u8

CNR 娱乐广播,http://live.xmcdn.com/live/42/64.m3u8

CNR 娱乐广播,http://ls.qingting.fm/live/398.m3u8

CNR 娱乐广播,http://ngcdn014.cnr.cn/live/ylgb/index.m3u8

CNR 中国交通广播,http://live.xmcdn.com/live/45/64.m3u8

CNR 中国交通广播,http://ls.qingting.fm/live/4985.m3u8

CNR 中国交通广播,http://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8

500首华语经典,http://ls.qingting.fm/live/3412131.m3u8?bitrate=64

CRI 环球资讯广播 FM90.5,http://sk.cri.cn/905.m3u8

CRI 中文环球广播,http://sk.cri.cn/hyhq.m3u8

CRI 南海之声,http://sk.cri.cn/nhzs.m3u8

CRI Hit FM FM88.7,http://sk.cri.cn/887.m3u8

CRI 轻松调频 FM91.5,http://sk.cri.cn/915.m3u8

CRI NEWS Plus AM846,http://sk.cri.cn/am846.m3u8

CNR 哈语广播,http://live.xmcdn.com/live/1396/64.m3u8

cnr经典音乐,http://ngcdn004.cnr.cn/live/dszs/index.m3u8

怀集音乐台,http://live.xmcdn.com:80/live/966/64.m3u8

高清音乐台,http://live.xmcdn.com:80/live/1427/64.m3u8

清晨音乐台,http://live.xmcdn.com:80/live/1011/64.m3u8

老歌音乐台,http://live.xmcdn.com:80/live/2628/64.m3u8

亚洲经典音乐台,http://live.xmcdn.com:80/live/1005/64.m3u8

上海动感101,http://ls.qingting.fm/live/274.m3u8

厦门音乐广播,http://ls.qingting.fm/live/1739.m3u8

浙江动听,http://ls.qingting.fm/live/4866.m3u8

四川岷江音乐广播,http://ls.qingting.fm/live/1110.m3u8

北京音乐广播,http://live.xmcdn.com/live/95/64.m3u8

影视频道,#genre#

平泉影视,https://jwliveqxzb.hebyun.com.cn/pqys/pqys.m3u8

南宁影视,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8

绍兴影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8

海西影视,http://stream.haixitv.cn/1/sd/live.m3u8

溧水影视,https://live.lsrmw.cn/ysyl/sd/live.m3u8

镇海先锋影视,http://pluslive.zhxww.net/channel2/sd/live.m3u8

滨海影视,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8

石河子影视文体,http://124.88.144.73:1935/live/jjsh/HasBahCa.m3u8

3D,#genre#

3D0,https://vd2.bdstatic.com/mda-kfhr50vjwtmttwxc/v1-cae/sc/mda-kfhr50vjwtmttwxc.mp4

3D1,https://vd4.bdstatic.com/mda-mdfijn4crxseyky0/1080p/cae_h264/1618549960/mda-mdfijn4crxseyky0.mp4

3d4,https://vd2.bdstatic.com/mda-kmtfv6y5gctpa35w/sc/mda-kmtfv6y5gctpa35w.mp4

混剪3D,https://vd3.bdstatic.com/mda-kksk814vwc1m06av/sc/mda-kksk814vwc1m06av.mp4

头号玩家,https://vd2.bdstatic.com/mda-kknwdmibvdrfaavv/v1-cae/1080p/mda-kknwdmibvdrfaavv.mp4

精美,https://vd4.bdstatic.com/mda-mjak88esahdcpmc5/1080p/cae_h264/1633962937397290860/mda-mjak88esahdcpmc5.mp4

变形金刚2,https://vd3.bdstatic.com/mda-khb9j4g6c25biyqj/v1-cae/1080p/mda-khb9j4g6c25biyqj.mp4

Bicycle,https://vd2.bdstatic.com/mda-mbirabhun6n01ucc/v1-cae/1080p/mda-mbirabhun6n01ucc.mp4

玩家,https://vd3.bdstatic.com/mda-kbhkh7z58qvsn0a1/mda-kbhkh7z58qvsn0a1.mp4

钢铁侠,https://vd4.bdstatic.com/mda-narbupksqbu5yyiy/sc/cae_h264_nowatermark_delogo/1643187081773112317/mda-narbupksqbu5yyiy.mp4

龙腾虎跃,https://vd2.bdstatic.com/mda-nb48vhn84vq41zf3/1080p/cae_h264_delogo/1644042257215201305/mda-nb48vhn84vq41zf3.mp4

终结者,https://vd3.bdstatic.com/mda-jk1hupziz0524rq1/mda-jk1hupziz0524rq1.mp4

AA,https://vd3.bdstatic.com/mda-mfnc43q5ngnzua6p/sc/cae_h264/1624437508830556235/mda-mfnc43q5ngnzua6p.mp4

游戏,https://vd4.bdstatic.com/mda-mjak88esahdcpmc5/1080p/cae_h264/1633962937397290860/mda-mjak88esahdcpmc5.mp4

Dreamcatcher,https://vd3.bdstatic.com/mda-mbiqgzsnfeyv74y6/v1-cae/1080p/mda-mbiqgzsnfeyv74y6.mp4

东京-新宿,https://vd4.bdstatic.com/mda-na6metzpvv5xqh6h/1080p/cae_h264/1641623274673701803/mda-na6metzpvv5xqh6h.mp4

